OBJECTID,Descripcion,Periodo,Fuente,Fecha_Actualizacion,Shape__Area,Shape__Length,Codigo_Muniicipio,Departamento,Municipio,Periodo_1980_1988,Periodo_1989_1996,Periodo_1997_2004,Periodo_2005_2014,Total_1989_2014
1,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,0.0306059241279441,1.03254592618064,05001,ANTIOQUIA,MEDELLÍN,412,4662,23268,81738,110080
2,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,0.0413838961970872,1.15850379022206,05002,ANTIOQUIA,ABEJORRAL,46,296,6494,2030,8866
3,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,0.0242482554608591,0.812183229835095,05004,ANTIOQUIA,ABRIAQUÍ,74,229,987,129,1419
4,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,0.0105345265763773,0.705199538542932,05021,ANTIOQUIA,ALEJANDRÍA,10,116,4997,368,5491
5,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,0.00686652323313185,0.445240716521653,05030,ANTIOQUIA,AMAGÁ,20,130,670,787,1607
6,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,0.0989213098361165,2.06335956359662,05031,ANTIOQUIA,AMALFI,216,465,3653,2286,6620
7,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,0.0328165802123462,1.14698358028927,05034,ANTIOQUIA,ANDES,45,326,1305,1872,3548
8,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,0.00668338736805382,0.427495595534376,05036,ANTIOQUIA,ANGELÓPOLIS,6,57,1147,216,1426
9,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,0.0276669576496758,0.915670584923987,05038,ANTIOQUIA,ANGOSTURA,11,193,2465,854,3523
10,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,0.115706036890768,1.84764405945928,05040,ANTIOQUIA,ANORÍ,48,130,4375,8451,13004
11,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,0.042995054400239,1.12544817349732,05042,ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,38,427,1553,835,2853
12,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,0.0208933711104953,0.746835164769707,05044,ANTIOQUIA,ANZÁ,13,274,3234,367,3888
13,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,0.0438004926529834,1.28661901175453,05045,ANTIOQUIA,APARTADÓ,1419,16526,29669,17130,64744
14,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,0.0618530060287371,1.86044996941637,05051,ANTIOQUIA,ARBOLETES,1561,13005,7406,2901,24873
15,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,0.0200221218902247,1.06233838013188,05055,ANTIOQUIA,ARGELIA,202,796,12092,7924,21014
16,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,0.0090144025961053,0.502777095499201,05059,ANTIOQUIA,ARMENIA,1,11,245,227,484
17,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,0.0168019058869988,0.770239824804273,05079,ANTIOQUIA,BARBOSA,6,240,2260,1160,3666
18,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,0.0242003553550647,1.17300353408174,05086,ANTIOQUIA,BELMIRA,8,33,253,216,510
19,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,0.0120627474540158,0.620634840359945,05088,ANTIOQUIA,BELLO,45,509,2583,4745,7882
20,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,0.0147212975479368,0.692872364337093,05091,ANTIOQUIA,BETANIA,31,693,1432,375,2531
21,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,0.0214135235662533,0.847675552980638,05093,ANTIOQUIA,BETULIA,25,427,15040,1942,17434
