id,nivel,iso3,pais,departamento,municipio,anio,periodo,causa,sexo,grupo_edad,personas_desplazadas,desplazamiento_stock,duracion_periodo_anios,tipo_fuente,fuente,personas_desplazadas_flag,desplazamiento_stock_flag,registro_valido_dominio,outlier_iqr_extremo
1,Global,AB9,Abyei Area,,,2024,2024,Conflicto armado / violencia,Todos,Todos,21000.0,42000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
2,Global,AB9,Abyei Area,,,2024,2024,Desastre natural / climático,Todos,Todos,15000.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
3,Global,AFG,Afghanistan,,,2024,2024,Conflicto armado / violencia,Todos,Todos,3200.0,4187000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
4,Global,AFG,Afghanistan,,,2024,2024,Desastre natural / climático,Todos,Todos,1017000.0,1270000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,True
5,Global,AGO,Angola,,,2024,2024,Desastre natural / climático,Todos,Todos,85000.0,75000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
6,Global,ALB,Albania,,,2024,2024,Desastre natural / climático,Todos,Todos,9.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
7,Global,AND,Andorra,,,2024,2024,Desastre natural / climático,Todos,Todos,5.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
8,Global,ARE,United Arab Emirates,,,2024,2024,Desastre natural / climático,Todos,Todos,2100.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
9,Global,ARG,Argentina,,,2024,2024,Desastre natural / climático,Todos,Todos,14000.0,74.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
10,Global,ARM,Armenia,,,2024,2024,Desastre natural / climático,Todos,Todos,520.0,4.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
11,Global,AUS,Australia,,,2024,2024,Desastre natural / climático,Todos,Todos,32000.0,180.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
12,Global,AUT,Austria,,,2024,2024,Desastre natural / climático,Todos,Todos,4000.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
13,Global,AZE,Azerbaijan,,,2024,2024,Conflicto armado / violencia,Todos,Todos,,658000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),sin_dato,reportado,True,False
14,Global,AZE,Azerbaijan,,,2024,2024,Desastre natural / climático,Todos,Todos,100.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
15,Global,BDI,Burundi,,,2024,2024,Conflicto armado / violencia,Todos,Todos,360.0,6900.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
16,Global,BDI,Burundi,,,2024,2024,Desastre natural / climático,Todos,Todos,60000.0,85000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,reportado,True,False
17,Global,BEL,Belgium,,,2024,2024,Desastre natural / climático,Todos,Todos,49.0,,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),reportado,no_disponible_en_fuente,True,False
18,Global,BEN,Benin,,,2024,2024,Conflicto armado / violencia,Todos,Todos,,13000.0,1,Secundaria,IDMC - Global Internal Displacement Database (GIDD),sin_dato,reportado,True,False
